                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2042,                 1.6384,                 1.9535,                  1.186,                0.58465,                0.29792,                0.31152,                0.22603,                0.58375,                0.29469,                0.30939,                0.20249,                0.95644,                 1.2022,                 0.9986,                 1.0504,             0.00010404,             0.00010404,             0.00010404
                      2,                 0.9951,                  1.297,                 1.0952,                 1.0442,                0.57141,                 0.3506,                0.34877,                0.26033,                0.56952,                0.34811,                0.34692,                 0.2323,                 0.9175,                 1.1441,                0.89808,                 1.0328,             0.00020631,             0.00020631,             0.00020631
                      3,                0.99073,                 1.2649,                 1.0157,                 1.0476,                0.76201,                  0.358,                 0.4184,                0.31053,                0.76172,                0.35575,                 0.4183,                0.27245,                0.92433,                 1.1166,                0.82482,                 1.0347,             0.00030652,             0.00030652,             0.00030652
                      4,                0.95374,                 1.2319,                0.93177,                 1.0295,                 0.5384,                0.49107,                0.48222,                0.36631,                0.54107,                0.49776,                0.49282,                0.33594,                0.92159,                 1.1499,                0.77511,                 1.0244,              0.0003037,              0.0003037,              0.0003037
                      5,                0.94394,                  1.199,                0.86234,                 1.0221,                0.69419,                0.49273,                0.55243,                0.41818,                0.69866,                0.49949,                0.56109,                0.37656,                0.91136,                 1.1062,                0.71771,                 1.0133,             0.00030061,             0.00030061,             0.00030061
                      6,                0.91299,                 1.1601,                0.81038,                 1.0138,                0.78297,                0.52093,                0.60518,                0.46444,                0.77633,                0.52518,                0.60618,                0.43256,                 0.8692,                 1.0549,                0.66258,                0.99709,             0.00029751,             0.00029751,             0.00029751
                      7,                0.90316,                 1.1478,                0.78495,                 1.0038,                0.77428,                0.50203,                0.60291,                 0.4457,                0.77266,                 0.5004,                0.60829,                0.41671,                0.89386,                 1.0748,                0.67871,                 1.0001,             0.00029441,             0.00029441,             0.00029441
                      8,                0.88872,                 1.1177,                0.75671,                 1.0025,                0.81605,                 0.5396,                0.64348,                0.50207,                0.81304,                0.53878,                0.64289,                0.46119,                0.86118,                 1.0196,                0.63235,                0.99118,             0.00029131,             0.00029131,             0.00029131
                      9,                0.87567,                 1.1033,                0.72931,                0.99215,                0.85346,                0.56283,                0.68202,                0.53491,                0.86361,                0.56741,                0.68976,                0.49321,                0.82544,                 1.0082,                0.60608,                0.97129,             0.00028821,             0.00028821,             0.00028821
                     10,                 0.8685,                 1.0938,                0.69476,                0.98918,                0.72768,                0.62051,                0.69674,                0.53641,                0.72587,                0.61711,                0.69193,                0.49422,                0.81831,                0.99245,                 0.5841,                0.96813,             0.00028511,             0.00028511,             0.00028511
                     11,                0.85855,                 1.0752,                0.68359,                0.98261,                 0.8358,                0.61523,                0.69628,                 0.5524,                0.85982,                0.62295,                0.70564,                0.51813,                0.79913,                 0.9904,                0.58063,                0.95891,             0.00028201,             0.00028201,             0.00028201
                     12,                 0.8517,                  1.066,                0.66493,                0.98304,                0.86808,                0.63082,                0.71008,                0.56207,                0.86629,                0.62851,                0.70816,                 0.5237,                0.80811,                0.96988,                0.55512,                0.95944,             0.00027891,             0.00027891,             0.00027891
                     13,                0.83765,                 1.0664,                0.64263,                0.97669,                0.80478,                0.64867,                0.71559,                 0.5589,                0.81807,                0.65213,                 0.7206,                 0.5143,                0.80646,                0.96687,                0.54904,                0.95836,             0.00027582,             0.00027582,             0.00027582
                     14,                0.83155,                 1.0496,                0.63539,                0.97394,                0.79431,                0.65057,                0.70913,                0.56218,                0.84228,                0.62717,                0.71939,                0.52136,                 0.8217,                0.96273,                0.56269,                0.96628,             0.00027272,             0.00027272,             0.00027272
