                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1857,                  1.534,                 2.1481,                  1.165,                0.70736,                0.35652,                0.39382,                0.29878,                0.70453,                0.35215,                0.38939,                0.25619,                 1.0082,                 1.1807,                 1.1913,                 1.0667,              0.0001146,              0.0001146,              0.0001146
                      2,                0.99562,                 1.2277,                 1.2671,                 1.0319,                0.71291,                0.36705,                0.46781,                0.35365,                0.70683,                0.36423,                0.46223,                0.30726,                0.96956,                 1.1111,                 1.1551,                 1.0635,             0.00022733,             0.00022733,             0.00022733
                      3,                0.98413,                 1.2065,                 1.1657,                 1.0269,                0.66358,                0.44904,                0.51014,                0.39174,                0.65996,                 0.4458,                0.50411,                0.33887,                0.93463,                 1.1458,                 1.0516,                 1.0315,             0.00033778,             0.00033778,             0.00033778
                      4,                0.96887,                 1.1996,                 1.0913,                 1.0249,                0.54201,                0.58976,                0.60004,                0.46449,                0.53896,                0.58434,                0.59685,                0.40052,                0.91802,                 1.0809,                0.97327,                 1.0237,             0.00033475,             0.00033475,             0.00033475
                      5,                0.93204,                 1.1482,                  1.005,                  1.008,                0.66536,                0.55477,                0.61841,                0.48151,                0.66243,                0.55096,                0.61313,                0.42188,                0.89865,                 1.0681,                0.88085,                0.99985,             0.00033134,             0.00033134,             0.00033134
                      6,                0.91804,                 1.1249,                0.95533,                  1.001,                0.72558,                0.58717,                0.68556,                0.53485,                0.72227,                0.58316,                0.68283,                0.47204,                0.90269,                 1.0454,                0.82496,                  1.007,             0.00032792,             0.00032792,             0.00032792
                      7,                0.89935,                 1.0842,                0.90406,                0.99591,                0.74654,                0.61605,                0.69291,                0.54327,                0.73876,                0.60675,                0.68144,                0.46898,                0.89425,                 1.0662,                 0.8024,                0.99829,             0.00032451,             0.00032451,             0.00032451
                      8,                 0.8903,                 1.0771,                0.87755,                0.98685,                0.72979,                0.68178,                0.72672,                0.57312,                0.74746,                0.67287,                0.72776,                 0.5094,                0.86593,                  1.035,                0.75599,                 0.9845,             0.00032109,             0.00032109,             0.00032109
                      9,                 0.8784,                 1.0808,                0.82822,                0.98296,                0.78406,                0.66279,                0.74587,                0.59536,                0.78822,                0.65835,                0.74195,                 0.5287,                0.85269,                0.98877,                0.72246,                0.97428,             0.00031768,             0.00031768,             0.00031768
                     10,                0.85874,                 1.0542,                0.79491,                0.97257,                0.83861,                 0.6506,                0.76477,                0.60242,                0.82984,                0.64754,                0.75759,                0.53206,                0.82997,                0.96322,                0.71334,                0.96895,             0.00031426,             0.00031426,             0.00031426
                     11,                 0.8531,                 1.0432,                0.78175,                0.97135,                 0.8594,                0.68993,                0.78181,                0.63141,                 0.8628,                0.68812,                0.77631,                0.55055,                0.83526,                0.97697,                0.70276,                0.96587,             0.00031084,             0.00031084,             0.00031084
                     12,                0.84248,                 1.0219,                0.76908,                0.96937,                0.80328,                  0.739,                0.79589,                0.63438,                0.81325,                  0.724,                0.78839,                0.56582,                0.81865,                0.94208,                0.65809,                0.95344,             0.00030743,             0.00030743,             0.00030743
                     13,                0.84001,                 1.0168,                0.74421,                0.96716,                0.77355,                0.71601,                0.78721,                0.62989,                0.77422,                0.71217,                0.77983,                0.56482,                0.80881,                0.94744,                0.66469,                0.95659,             0.00030401,             0.00030401,             0.00030401
                     14,                0.82618,                0.99764,                0.71178,                0.96048,                0.85796,                0.74131,                0.81334,                0.65366,                0.85667,                0.74264,                0.80808,                0.57339,                0.83368,                0.96261,                0.66091,                0.95821,              0.0003006,              0.0003006,              0.0003006
                     15,                0.81915,                0.99168,                0.70567,                0.95991,                0.87939,                0.73092,                0.82737,                0.67052,                 0.8786,                0.73123,                 0.8243,                0.59386,                0.79381,                0.94493,                0.61841,                0.94271,             0.00029718,             0.00029718,             0.00029718
                     16,                0.81511,                0.98688,                0.69775,                0.95686,                0.84533,                 0.7382,                0.82208,                0.66941,                0.84663,                0.73005,                0.81938,                0.58339,                 0.7912,                0.93644,                0.61517,                0.94968,             0.00029377,             0.00029377,             0.00029377
                     17,                0.80777,                0.97496,                0.67047,                0.95253,                 0.8825,                0.76323,                0.84181,                0.68435,                0.88288,                0.76629,                0.83993,                0.59837,                0.80984,                0.92685,                0.59858,                0.94956,             0.00029035,             0.00029035,             0.00029035
                     18,                0.80232,                0.96863,                0.64994,                0.94931,                0.85365,                0.75608,                0.83131,                0.67649,                0.84975,                 0.7514,                0.82124,                0.59336,                0.78783,                0.92716,                0.60888,                0.94493,             0.00028694,             0.00028694,             0.00028694
                     19,                0.79212,                0.95943,                0.64655,                0.94611,                0.86797,                0.77282,                0.84368,                0.68533,                0.86949,                0.77153,                 0.8418,                0.60596,                0.78779,                0.92212,                0.58262,                0.93973,             0.00028352,             0.00028352,             0.00028352
                     20,                0.78584,                0.95848,                0.63597,                0.94846,                0.89836,                0.78737,                0.86164,                0.70194,                0.89411,                0.78742,                0.85329,                0.60443,                0.78129,                0.93076,                0.57003,                0.93771,             0.00028011,             0.00028011,             0.00028011
                     21,                0.79046,                0.94611,                0.62603,                0.94461,                 0.8886,                0.77923,                0.85597,                 0.7026,                0.88927,                  0.771,                0.84872,                 0.6124,                0.79482,                0.91451,                0.57601,                0.94234,             0.00027669,             0.00027669,             0.00027669
                     22,                0.77603,                0.93645,                0.60335,                0.93803,                0.83368,                0.78817,                0.85106,                0.69496,                0.83522,                0.77149,                0.84326,                0.60437,                0.78832,                0.92593,                0.56261,                0.94147,             0.00027327,             0.00027327,             0.00027327
                     23,                0.77387,                0.94635,                0.59536,                0.93806,                0.87286,                0.78219,                0.85418,                0.69852,                0.88413,                0.76768,                0.85022,                0.62298,                0.76209,                0.89908,                0.55625,                0.93363,             0.00026986,             0.00026986,             0.00026986
                     24,                0.76812,                0.92404,                0.58418,                0.93644,                0.90641,                0.78562,                0.85904,                0.70558,                0.90223,                0.78168,                0.85245,                0.62374,                0.76842,                0.91401,                0.54515,                0.93248,             0.00026644,             0.00026644,             0.00026644
                     25,                0.76305,                0.92107,                0.58982,                0.93554,                0.87668,                0.78226,                0.86783,                0.71559,                0.87356,                0.77974,                0.86214,                0.63522,                0.76275,                0.88304,                0.53912,                0.92954,             0.00026303,             0.00026303,             0.00026303
                     26,                0.76636,                0.92566,                0.57293,                0.92897,                0.88961,                0.82083,                0.86775,                0.71324,                0.88515,                0.81597,                0.85807,                0.63469,                0.77685,                0.89509,                 0.5505,                0.93315,             0.00025961,             0.00025961,             0.00025961
                     27,                0.75887,                0.91881,                0.57485,                 0.9303,                0.88197,                0.79686,                0.87028,                0.71506,                0.87977,                0.79387,                0.86186,                0.63003,                0.77096,                0.89796,                0.53963,                0.93707,              0.0002562,              0.0002562,              0.0002562
                     28,                 0.7525,                0.91403,                0.55725,                 0.9301,                0.88198,                0.82273,                0.87404,                0.71982,                0.87923,                0.82045,                0.86873,                0.64816,                0.74501,                0.88679,                0.53132,                0.92267,             0.00025278,             0.00025278,             0.00025278
                     29,                0.74965,                 0.9127,                0.54871,                0.93253,                0.90116,                 0.8299,                0.88397,                0.72753,                0.89855,                0.82756,                0.87562,                0.64603,                0.74638,                0.89301,                0.52163,                0.92233,             0.00024937,             0.00024937,             0.00024937
                     30,                0.74019,                0.90044,                0.54147,                0.92299,                0.89361,                0.82985,                0.88151,                0.73082,                0.89211,                0.82462,                0.87402,                0.65141,                0.75236,                0.87861,                0.50377,                0.92444,             0.00024595,             0.00024595,             0.00024595
                     31,                0.73531,                 0.8972,                0.54343,                0.92555,                0.90106,                0.82736,                0.88833,                0.73561,                0.89944,                0.82425,                0.88412,                0.65658,                0.73402,                0.87099,                0.50516,                0.92082,             0.00024253,             0.00024253,             0.00024253
                     32,                0.73431,                0.89891,                0.52837,                0.92381,                0.88448,                0.80868,                0.88323,                0.72903,                0.87599,                 0.8011,                0.87359,                0.64381,                0.75005,                0.89058,                0.50049,                 0.9254,             0.00023912,             0.00023912,             0.00023912
                     33,                0.72679,                0.89248,                 0.5254,                0.92168,                0.88779,                0.82582,                 0.8834,                0.72851,                0.88588,                0.82019,                0.87473,                0.63845,                0.73903,                0.87714,                0.48514,                0.91934,              0.0002357,              0.0002357,              0.0002357
                     34,                0.73119,                0.88671,                0.50785,                0.91859,                0.91828,                0.83587,                0.89412,                0.74173,                0.91625,                0.83376,                0.88708,                0.65072,                 0.7394,                0.87118,                0.48924,                0.92218,             0.00023229,             0.00023229,             0.00023229
                     35,                0.72321,                0.87945,                0.50812,                0.91831,                 0.9111,                0.84366,                0.89189,                0.73982,                 0.9067,                0.83787,                0.88409,                0.65968,                0.72677,                0.85909,                0.49358,                0.91298,             0.00022887,             0.00022887,             0.00022887
                     36,                0.72049,                0.86491,                 0.5063,                0.91734,                 0.9038,                0.83924,                0.89414,                0.74321,                0.89926,                0.83535,                0.88875,                0.65752,                0.72686,                0.86352,                0.48638,                0.91261,             0.00022546,             0.00022546,             0.00022546
                     37,                0.71106,                0.86939,                0.50539,                0.91552,                0.91722,                0.83344,                0.89433,                0.74105,                0.91242,                0.82784,                0.88607,                 0.6519,                0.72794,                0.85612,                0.47495,                0.91275,             0.00022204,             0.00022204,             0.00022204
                     38,                0.70858,                0.85929,                0.49065,                0.91096,                0.93245,                0.82324,                0.89327,                0.74158,                0.92728,                0.81708,                0.88681,                0.65787,                0.72968,                0.86454,                0.49258,                0.90705,             0.00021863,             0.00021863,             0.00021863
                     39,                0.70918,                0.85711,                0.48956,                0.91227,                0.92644,                0.82073,                0.89376,                0.74562,                0.93097,                0.81553,                0.88454,                0.65628,                0.72484,                0.85418,                0.46974,                0.90583,             0.00021521,             0.00021521,             0.00021521
