                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1344,                 1.5196,                 1.8121,                 1.1516,                 0.6891,                0.35043,                0.40315,                0.31122,                0.68902,                0.34978,                0.40354,                0.27956,                0.89966,                 1.0904,                 0.8444,                 1.0183,             0.00010404,             0.00010404,             0.00010404
                      2,                0.95771,                 1.2249,                 1.0106,                 1.0311,                0.72677,                 0.3842,                0.51291,                0.39065,                0.72611,                 0.3819,                0.51253,                0.37138,                0.89682,                 1.0722,                 0.8067,                 1.0101,             0.00020631,             0.00020631,             0.00020631
                      3,                0.94844,                  1.201,                0.92717,                  1.027,                0.71806,                 0.4763,                0.51664,                 0.3963,                0.71678,                0.47498,                0.51575,                0.36238,                0.92432,                 1.0706,                0.76714,                 1.0252,             0.00030652,             0.00030652,             0.00030652
                      4,                0.93222,                 1.1693,                 0.8731,                 1.0232,                0.70488,                0.53263,                0.53881,                0.41664,                0.70518,                0.53162,                0.53937,                  0.382,                0.86952,                 1.0614,                0.72387,                 1.0054,              0.0003037,              0.0003037,              0.0003037
                      5,                0.90355,                 1.1384,                0.80073,                 1.0087,                0.70737,                0.56097,                0.62281,                0.48417,                0.71516,                0.56405,                0.63377,                0.45749,                0.86335,                 1.0178,                0.65806,                0.98737,             0.00030061,             0.00030061,             0.00030061
                      6,                0.89347,                 1.1184,                0.77286,                 1.0084,                0.79443,                0.55741,                0.63995,                0.50592,                 0.8004,                0.56124,                0.64359,                0.46135,                0.84401,                 1.0184,                0.62064,                0.98807,             0.00029751,             0.00029751,             0.00029751
                      7,                0.87036,                 1.0894,                0.72507,                0.99311,                0.73265,                0.61421,                0.66098,                0.52742,                0.73029,                0.61175,                0.65358,                0.48384,                 0.8263,                0.98831,                0.60409,                0.96953,             0.00029441,             0.00029441,             0.00029441
                      8,                0.85572,                 1.0877,                0.70603,                0.99068,                0.82054,                0.62958,                0.71758,                0.57896,                0.82453,                0.63321,                0.72322,                0.53309,                0.83277,                0.95288,                0.59194,                 0.9712,             0.00029131,             0.00029131,             0.00029131
                      9,                0.84673,                 1.0457,                0.68469,                0.98677,                0.79555,                0.64986,                0.71002,                0.56638,                0.80937,                0.65829,                0.71905,                0.53119,                0.80404,                 0.9684,                0.58426,                0.96738,             0.00028821,             0.00028821,             0.00028821
                     10,                0.84256,                 1.0551,                0.66593,                0.97959,                0.86075,                0.62036,                0.72549,                0.58351,                0.85873,                0.61912,                0.71843,                0.54716,                 0.7919,                 0.9683,                0.55352,                0.95364,             0.00028511,             0.00028511,             0.00028511
                     11,                0.82595,                 1.0253,                0.65196,                0.97574,                0.79833,                0.66628,                0.73757,                0.59079,                0.79201,                0.66496,                0.73547,                0.55565,                0.78149,                0.93328,                0.54451,                0.94554,             0.00028201,             0.00028201,             0.00028201
                     12,                0.82305,                 1.0149,                 0.6195,                0.96984,                0.85469,                0.63532,                0.74484,                0.60134,                0.84939,                0.63056,                0.74076,                0.55523,                0.78534,                0.93547,                0.51752,                0.94677,             0.00027891,             0.00027891,             0.00027891
                     13,                0.81459,                 1.0123,                0.61579,                 0.9704,                0.83801,                0.71944,                0.76596,                0.61034,                 0.8361,                0.71871,                0.76211,                0.56259,                0.78503,                0.92091,                0.51033,                 0.9459,             0.00027582,             0.00027582,             0.00027582
                     14,                0.80694,                 1.0015,                0.60829,                0.96737,                 0.8613,                0.68944,                 0.7806,                0.63071,                0.85821,                0.68186,                0.76801,                0.57839,                0.79041,                0.92755,                 0.5143,                0.94799,             0.00027272,             0.00027272,             0.00027272
                     15,                0.79562,                0.98992,                0.58728,                0.96278,                0.88039,                0.67652,                0.76902,                0.62064,                 0.8766,                0.67286,                0.75902,                0.57776,                0.77641,                0.94357,                0.51542,                0.94219,             0.00026962,             0.00026962,             0.00026962
