                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1674,                  3.542,                 5.6359,                 1.4244,                0.00206,                0.01992,                0.00123,                0.00094,                0.00206,                0.01959,                0.00122,                0.00096,                 2.1631,                 2.9255,                 5.4244,                 1.2173,              2.504e-05,              2.504e-05,              2.504e-05
                      2,                 1.8657,                 2.8658,                 4.3521,                 1.2577,                0.08006,                0.04974,                0.02136,                0.01409,                0.08016,                0.04827,                0.02126,                0.01384,                 2.0782,                 2.5618,                 5.2098,                 1.1449,             5.2683e-05,             5.2683e-05,             5.2683e-05
                      3,                 1.8198,                 2.5989,                 3.4764,                 1.1318,                  0.099,                0.07613,                0.04005,                 0.0265,                0.09968,                0.07529,                0.04002,                0.02587,                 2.0112,                 2.5233,                 5.3961,                 1.0636,             7.9769e-05,             7.9769e-05,             7.9769e-05
                      4,                 1.7404,                 2.4002,                 2.8005,                 1.0325,                0.11485,                 0.1385,                0.08088,                0.05841,                0.11369,                0.13484,                0.07994,                0.05551,                 1.8647,                 2.4793,                 5.7262,                0.99468,              0.0001063,              0.0001063,              0.0001063
                      5,                 1.6289,                 2.2363,                 2.3527,                 0.9933,                0.32416,                0.12865,                0.12059,                0.09127,                0.31954,                0.12629,                0.11731,                0.07953,                 1.7506,                 2.2264,                 3.3145,                  0.946,             0.00013227,             0.00013227,             0.00013227
                      6,                 1.6173,                 2.2314,                 2.1944,                0.96688,                0.47494,                0.17689,                0.16783,                0.12167,                0.46906,                0.17334,                0.16301,                0.11019,                 1.6378,                  2.095,                 2.3995,                0.92705,             0.00015768,             0.00015768,             0.00015768
                      7,                 1.5283,                 2.0832,                 1.9381,                0.94924,                0.54432,                0.17312,                0.17951,                0.13235,                0.54275,                0.17265,                0.17698,                0.12531,                 1.6217,                 2.0543,                 2.3134,                0.92316,             0.00018253,             0.00018253,             0.00018253
                      8,                 1.5114,                 2.0422,                 1.8194,                 0.9219,                0.44444,                0.19324,                0.18975,                0.13812,                0.43207,                0.18476,                0.18083,                0.12128,                 1.6438,                 1.9834,                 2.2839,                 0.9152,             0.00020683,             0.00020683,             0.00020683
                      9,                 1.5112,                 2.0272,                 1.8042,                0.93838,                0.58389,                0.23396,                0.24502,                0.18132,                0.57763,                0.22821,                0.23331,                 0.1578,                  1.625,                 1.9794,                 2.1835,                0.91442,             0.00023057,             0.00023057,             0.00023057
                     10,                 1.4356,                 1.9207,                 1.7877,                0.92751,                0.47137,                0.26497,                0.25644,                0.18458,                0.46269,                0.25838,                0.24449,                0.16384,                 1.5852,                 1.9421,                 2.2015,                0.91143,             0.00025375,             0.00025375,             0.00025375
