Instance ID,Image File,Vertices,Designator
0,pcb_18f_cc_12.png,"[[[5291, 4651], [5322, 4625], [5346, 4614], [5373, 4610], [5401, 4614], [5435, 4626], [5462, 4649], [5475, 4668], [5484, 4686], [5488, 4705], [5491, 4729], [5492, 4749], [5488, 4766], [5478, 4787], [5466, 4802], [5452, 4814], [5431, 4826], [5410, 4831], [5392, 4830], [5376, 4827], [5339, 4820], [5314, 4803], [5285, 4775], [5286, 4657], [5290, 4651]]]",LED
1,pcb_18f_cc_12.png,"[[[5290, 4362], [5310, 4345], [5361, 4327], [5387, 4327], [5434, 4340], [5455, 4359], [5476, 4382], [5489, 4409], [5493, 4446], [5493, 4477], [5479, 4511], [5454, 4533], [5423, 4548], [5393, 4550], [5359, 4545], [5333, 4534], [5311, 4520], [5283, 4487], [5288, 4362]]]",LED
2,pcb_18f_cc_12.png,"[[[4043, 2155], [4040, 2099], [4039, 2096], [4039, 2093], [4041, 2091], [4042, 2089], [4043, 2089], [4047, 2088], [4052, 2088], [4054, 2089], [4056, 2090], [4058, 2094], [4058, 2097], [4060, 2100], [4060, 2103], [4063, 2265], [4064, 2267], [4068, 2281], [4068, 2282], [4069, 2282], [4081, 2282], [4087, 2284], [4088, 2284], [4089, 2286], [4090, 2291], [4091, 2405], [4090, 2409], [4089, 2413], [4088, 2414], [4086, 2415], [4085, 2416], [4074, 2417], [4072, 2418], [4071, 2420], [4068, 2425], [4068, 2502], [4067, 2530], [4066, 2556], [4065, 2560], [4065, 2561], [4064, 2562], [4064, 2564], [4058, 2572], [4056, 2573], [4051, 2574], [4046, 2574], [4044, 2573], [4042, 2571], [4040, 2568], [4040, 2566], [4040, 2563], [4040, 2559], [4042, 2558], [4046, 2555], [4047, 2554], [4048, 2553], [4050, 2545], [4050, 2528], [4048, 2494], [4048, 2422], [4046, 2420], [4045, 2420], [4034, 2417], [4032, 2417], [4030, 2416], [4027, 2415], [4026, 2413], [4023, 2409], [4023, 2405], [4023, 2403], [4023, 2399], [4023, 2291], [4024, 2289], [4024, 2288], [4026, 2287], [4035, 2284], [4040, 2283], [4042, 2282], [4043, 2270]]]",D
3,pcb_18f_cc_12.png,"[[[1965, 3733], [1961, 3733], [1959, 3731], [1958, 3729], [1957, 3725], [1957, 3723], [1958, 3721], [1960, 3720], [1961, 3719], [1973, 3719], [1982, 3699], [1984, 3697], [1986, 3696], [2135, 3696], [2137, 3698], [2138, 3700], [2143, 3712], [2145, 3725], [2164, 3723], [2166, 3724], [2168, 3728], [2168, 3732], [2167, 3738], [2142, 3741], [2140, 3765], [2139, 3770], [2138, 3775], [2137, 3778], [2136, 3781], [2121, 3812], [2104, 3828], [2091, 3837], [2079, 3843], [2060, 3848], [2048, 3849], [2035, 3848], [2021, 3845], [2007, 3839], [1994, 3832], [1982, 3820], [1974, 3808], [1967, 3795], [1962, 3777], [1960, 3763], [1961, 3751], [1963, 3742]]]",IC
4,pcb_18f_cc_12.png,"[[[2981, 3038], [2982, 3035], [2983, 3035], [2990, 3034], [2992, 3034], [2995, 3036], [2997, 3037], [2998, 3039], [2998, 3043], [2996, 3046], [2994, 3049], [2996, 3225], [3008, 3231], [3013, 3235], [3020, 3248], [3021, 3258], [3021, 3284], [3020, 3292], [3018, 3305], [3015, 3313], [2993, 3334], [2994, 3484], [2995, 3489], [2998, 3499], [2999, 3502], [3001, 3506], [3002, 3509], [3002, 3513], [3000, 3515], [2995, 3517], [2987, 3516], [2982, 3509], [2978, 3503], [2975, 3335], [2962, 3327], [2949, 3325], [2943, 3318], [2940, 3306], [2941, 3253], [2946, 3243], [2954, 3236], [2971, 3226], [2973, 3219], [2975, 3051], [2977, 3044], [2981, 3038]]]",C
5,pcb_18f_cc_12.png,"[[[2742, 2827], [2732, 2821], [2725, 2828], [2722, 3001], [2708, 3006], [2699, 3015], [2698, 3025], [2704, 3115], [2706, 3118], [2710, 3121], [2722, 3121], [2726, 3295], [2729, 3303], [2732, 3306], [2735, 3306], [2738, 3307], [2742, 3305], [2746, 3303], [2747, 3298], [2746, 3120], [2755, 3118], [2759, 3117], [2763, 3111], [2765, 3099], [2764, 3015], [2763, 3010], [2757, 3005], [2743, 3001], [2743, 2828]]]",D
6,pcb_18f_cc_12.png,"[[[2646, 3570], [2649, 3561], [2649, 3550], [2643, 3550], [2636, 3548], [2631, 3551], [2625, 3563], [2622, 3715], [2599, 3742], [2595, 3751], [2594, 3758], [2593, 3767], [2593, 3778], [2592, 3783], [2589, 3794], [2589, 3833], [2590, 3838], [2592, 3845], [2597, 3854], [2604, 3862], [2617, 3874], [2620, 3878], [2621, 3880], [2627, 4024], [2632, 4032], [2637, 4035], [2646, 4035], [2651, 4031], [2652, 4028], [2652, 4023], [2647, 4009], [2640, 3876], [2644, 3868], [2652, 3862], [2658, 3856], [2662, 3847], [2666, 3837], [2672, 3784], [2672, 3761], [2666, 3740], [2658, 3729], [2647, 3716], [2644, 3713]]]",C
7,pcb_18f_cc_12.png,"[[[2745, 4028], [2745, 4042], [2748, 4052], [2751, 4055], [2755, 4057], [2762, 4058], [2765, 4057], [2767, 4054], [2766, 4039], [2759, 3900], [2760, 3896], [2765, 3890], [2779, 3872], [2785, 3859], [2789, 3844], [2790, 3831], [2790, 3799], [2787, 3772], [2774, 3748], [2767, 3738], [2765, 3732], [2768, 3592], [2771, 3587], [2771, 3585], [2771, 3581], [2770, 3579], [2768, 3577], [2763, 3575], [2756, 3575], [2751, 3576], [2750, 3578], [2748, 3581], [2746, 3585], [2746, 3589], [2743, 3733], [2716, 3769], [2713, 3777], [2710, 3797], [2710, 3816], [2712, 3850], [2717, 3863], [2732, 3881], [2739, 3893], [2742, 3896], [2742, 3902]]]",C
8,pcb_18f_cc_12.png,"[[[2362, 2833], [2361, 2831], [2362, 2830], [2364, 2825], [2372, 2822], [2377, 2823], [2379, 2823], [2381, 2824], [2382, 2826], [2386, 2828], [2388, 2832], [2389, 2836], [2390, 2978], [2424, 2981], [2430, 3164], [2392, 3169], [2395, 3302], [2391, 3308], [2387, 3311], [2384, 3313], [2377, 3313], [2368, 3307], [2364, 3303], [2364, 3168], [2326, 3164], [2322, 2979], [2362, 2977], [2362, 2834]]]",D
9,pcb_18f_cc_12.png,"[[[1776, 3248], [1778, 3241], [1783, 3234], [1784, 3233], [1791, 3230], [1802, 3231], [1806, 3233], [1810, 3237], [1811, 3239], [1811, 3244], [1805, 3253], [1803, 3259], [1804, 3379], [1804, 3380], [1837, 3383], [1843, 3566], [1805, 3570], [1808, 3704], [1807, 3713], [1802, 3717], [1797, 3717], [1790, 3717], [1787, 3715], [1781, 3709], [1780, 3705], [1774, 3570], [1739, 3566], [1735, 3380], [1776, 3378]]]",D
10,pcb_18f_cc_12.png,"[[[3560, 1984], [3560, 1983], [3560, 1981], [3562, 1976], [3570, 1973], [3575, 1974], [3577, 1974], [3579, 1976], [3580, 1978], [3584, 1980], [3586, 1983], [3587, 1988], [3589, 2129], [3622, 2132], [3628, 2316], [3590, 2320], [3593, 2453], [3589, 2459], [3586, 2462], [3582, 2464], [3575, 2464], [3566, 2458], [3562, 2454], [3562, 2319], [3524, 2316], [3520, 2130], [3561, 2128], [3560, 1985]]]",D
11,pcb_18f_cc_12.png,"[[[3440, 1986], [3440, 1985], [3440, 1983], [3442, 1979], [3450, 1975], [3455, 1976], [3457, 1977], [3459, 1978], [3461, 1980], [3464, 1982], [3466, 1986], [3467, 1990], [3470, 2117], [3505, 2118], [3507, 2308], [3472, 2306], [3473, 2455], [3469, 2462], [3466, 2464], [3462, 2466], [3456, 2466], [3447, 2460], [3446, 2456], [3443, 2306], [3405, 2306], [3404, 2124], [3406, 2120], [3443, 2120], [3441, 1988]]]",D
12,pcb_18f_cc_12.png,"[[[3207, 2107], [3207, 2106], [3207, 2104], [3209, 2100], [3217, 2097], [3222, 2098], [3225, 2098], [3226, 2099], [3228, 2101], [3231, 2103], [3233, 2107], [3234, 2111], [3238, 2255], [3273, 2253], [3273, 2448], [3242, 2446], [3240, 2577], [3236, 2583], [3233, 2586], [3229, 2587], [3223, 2588], [3214, 2582], [3213, 2577], [3208, 2448], [3173, 2448], [3171, 2252], [3208, 2253], [3208, 2109]]]",D
